X,Y,Z,X_size,Y_size,Z_size,Density,Rock_code,Ore_per,Au_grade,Block_ton,Au_mass
2516560,5823540,6720,40,40,40,0.076,0,100,0,3068.2112,0
2516560,5823580,6720,40,40,40,0.076,0,100,0,2824.0384,0
2516560,5823620,6720,40,40,40,0.076,0,100,0,2690.7648,0
2516560,5823660,6720,40,40,40,0.076,0,100,0,2845.44,0
2516600,5823540,6720,40,40,40,0.076,0,100,0,3239.424,0
2516600,5823580,6720,40,40,40,0.076,0,100,0,2694.1696,0
2516600,5823620,6720,40,40,40,0.076,0,100,0,2360.4992,0
2516600,5823660,6720,40,40,40,0.076,0,100,0,2181.9904,0
2516640,5823540,6680,40,40,40,0.0769,44,100,0.004,4921.6,13.78048
2516640,5823540,6720,40,40,40,0.076,0,100,0,2625.5872,0
2516640,5823580,6680,40,40,40,0.0769,44,100,0.0031,4921.6,0
2516640,5823580,6720,40,40,40,0.076,0,100,0,3112.96,0
2516640,5823620,6680,40,40,40,0.0769,44,100,0.0007,4921.6,0
2516640,5823620,6720,40,40,40,0.076,0,100,0,2409.1392,0
2516640,5823660,6680,40,40,40,0.0769,44,100,0.0007,4921.6,0
2516640,5823660,6720,40,40,40,0.076,0,100,0,1943.6544,0
2516560,5823700,6720,40,40,40,0.076,0,100,0,3013.7344,0
2516560,5823740,6720,40,40,40,0.076,0,100,0,2996.224,0
2516560,5823780,6720,40,40,40,0.0769,44,100,0,3925.46816,0
2516560,5823820,6720,40,40,40,0.0769,44,100,0,4798.06784,0
2516600,5823700,6720,40,40,40,0.076,0,100,0,2105.6256,0
2516600,5823740,6720,40,40,40,0.076,0,100,0,2471.3984,0
2516600,5823780,6720,40,40,40,0.0769,44,100,0,2905.71264,0
2516600,5823820,6720,40,40,40,0.0769,44,100,0,3852.62848,0
2516640,5823700,6680,40,40,40,0.0769,44,100,0.0007,4921.6,0
2516640,5823700,6720,40,40,40,0.076,0,100,0,1633.8176,0
2516640,5823740,6680,40,40,40,0.0769,44,100,0.0011,4921.6,0
2516640,5823740,6720,40,40,40,0.076,0,100,0,1412.992,0
2516640,5823780,6680,40,40,40,0.0769,44,100,0.0008,4921.6,0
2516640,5823780,6720,40,40,40,0.076,0,100,0,1984.0256,0
2516640,5823820,6680,40,40,40,0.0769,44,100,0,4921.6,0
2516640,5823820,6720,40,40,40,0.0769,44,100,0,3245.30304,0
2516520,5823780,6760,40,40,40,0.076,0,100,0,122.5728,0
2516520,5823820,6760,40,40,40,0.076,0,100,0,1287.5008,0
2516560,5823780,6760,40,40,40,0.076,0,100,0,3.8912,0
2516560,5823820,6760,40,40,40,0.076,0,100,0,414.8992,0
2516600,5823820,6760,40,40,40,0.076,0,100,0,0.4864,0
2516600,5823860,6720,40,40,40,0.0769,44,100,0,4841.37792,0
2516600,5823900,6720,40,40,40,0.0769,44,100,0,4921.6,0
2516640,5823860,6720,40,40,40,0.0769,44,100,0,4617.93728,0
2516640,5823900,6720,40,40,40,0.0769,44,100,0,4921.6,0
2516640,5823940,6720,40,40,40,0.0769,44,100,0,4921.6,0
2516520,5823860,6760,40,40,40,0.0769,44,100,0,2757.08032,0
2516520,5823900,6760,40,40,40,0.0769,44,100,0,3153.76128,0
2516560,5823860,6760,40,40,40,0.076,0,100,0,1806.0032,0
2516560,5823900,6760,40,40,40,0.0769,44,100,0,2448.98816,0
2516560,5823940,6760,40,40,40,0.0769,44,100,0,2709.3408,0
2516600,5823860,6760,40,40,40,0.076,0,100,0,358.9632,0
2516600,5823900,6760,40,40,40,0.076,0,100,0,1393.0496,0
2516600,5823940,6760,40,40,40,0.076,0,100,0,1873.6128,0
2516600,5823980,6760,40,40,40,0.076,0,100,0,1414.9376,0
2516640,5823860,6760,40,40,40,0.076,0,100,0,54.9632,0
2516640,5823900,6760,40,40,40,0.076,0,100,0,738.3552,0
2516640,5823940,6760,40,40,40,0.076,0,100,0,1081.2672,0
2516640,5823980,6760,40,40,40,0.076,0,100,0,959.1808,0
2516640,5824020,6760,40,40,40,0.076,0,100,0,775.808,0
2516800,5821740,6560,40,40,40,0.0745,51,0,0.0018,89.6384,0
2516680,5821860,6560,40,40,40,0.0745,51,0,0.0003,1193.9072,0
2516680,5821900,6560,40,40,40,0.0745,51,0,0.0003,82.0096,0
2516720,5821820,6560,40,40,40,0.0745,51,0,0.0007,193.5808,0
2516760,5821820,6560,40,40,40,0.0745,51,0,0.0009,26.224,0
2516760,5821860,6520,40,40,40,0.0745,51,0,0.0002,4645.9392,0
2516760,5821900,6520,40,40,40,0.0745,51,0,0.0002,4499.5616,0
2516800,5821780,6560,40,40,40,0.0745,51,0,0.0016,2.384,0
2516800,5821860,6520,40,40,40,0.0745,51,0,0.0002,4587.7696,0
2516800,5821900,6480,40,40,40,0.0745,51,0,0.0001,4768,0
2516800,5821900,6520,40,40,40,0.0745,51,0,0.0001,4476.1984,0
2516680,5821820,6600,40,40,40,0.0745,51,0,0.0012,48.6336,0
2516680,5821860,6600,40,40,40,0.0745,51,0,0.0007,0.4768,0
2516720,5821940,6520,40,40,40,0.0745,51,0,0.0001,4384.6528,0
2516720,5821980,6520,40,40,40,0.0769,51,88.49,0.0001,4346.26496,0
2516720,5822020,6520,40,40,40,0.0745,50,100,0.0001,4172,0
2516720,5822060,6520,40,40,40,0.0745,50,100,0.0001,4172,0
2516760,5821940,6520,40,40,40,0.0745,51,0,0.0001,4349.8464,0
2516760,5821980,6520,40,40,40,0.0769,51,0,0.0001,4342.32768,0
2516760,5822020,6520,40,40,40,0.0769,51,94.25,0.0001,4306.4,0
2516760,5822060,6520,40,40,40,0.0769,51,98.03,0.0001,4308.8608,0
2516800,5821940,6480,40,40,40,0.0769,51,0,0.0001,4921.6,0
2516800,5821940,6520,40,40,40,0.0745,51,0,0.0001,4346.9856,0
2516800,5821980,6480,40,40,40,0.0769,51,88,0.0001,4921.6,0
2516800,5821980,6520,40,40,40,0.0745,51,0,0.0001,4208.2368,0
2516800,5822020,6480,40,40,40,0.0769,51,97.15,0.0001,4921.6,0
2516800,5822020,6520,40,40,40,0.0745,51,0,0.0001,4172.4768,0
